,city,admin_name,lat,lng,id,first_name,last_name,weight,height,jersey,year,position,home_country,team,color,conference
0,Los Angeles,CA,34.1139,-118.4068,4575121,Nathan,Priestley,205.0,76.0,9.0,1.0,QB,USA,Georgia,#CC0000,SEC
1,Miami,FL,25.7839,-80.2102,4379399,James,Cook,190.0,71.0,4.0,3.0,RB,USA,Georgia,#CC0000,SEC
2,Miami,FL,25.7839,-80.2102,4426374,Tyrique,Stevenson,202.0,72.0,7.0,2.0,DB,USA,Georgia,#CC0000,SEC
3,Miami,FL,25.7839,-80.2102,4361779,Divaad,Wilson,195.0,72.0,2.0,2.0,DB,USA,Georgia,#CC0000,SEC
4,Philadelphia,PA,40.0077,-75.1339,4259545,D'Andre,Swift,215.0,69.0,7.0,3.0,RB,USA,Georgia,#CC0000,SEC
5,Philadelphia,PA,40.0077,-75.1339,4259570,Mark,Webb,200.0,73.0,23.0,4.0,DB,USA,Georgia,#CC0000,SEC
6,Atlanta,GA,33.7627,-84.4225,4379401,John,FitzPatrick,230.0,78.0,86.0,2.0,TE,USA,Georgia,#CC0000,SEC
7,Atlanta,GA,33.7627,-84.4225,4379413,Christopher,Smith,180.0,71.0,29.0,3.0,DB,USA,Georgia,#CC0000,SEC
8,Atlanta,GA,33.7627,-84.4225,4379412,Jamaree,Salyer,325.0,76.0,69.0,3.0,OL,USA,Georgia,#CC0000,SEC
9,Atlanta,GA,33.7627,-84.4225,4259575,Bill,Rubright,182.0,75.0,93.0,3.0,P,USA,Georgia,#CC0000,SEC
10,Atlanta,GA,33.7627,-84.4225,4379408,Miles,Miccichi,227.0,73.0,55.0,2.0,LB,USA,Georgia,#CC0000,SEC
11,Atlanta,GA,33.7627,-84.4225,4259557,William,Poole,190.0,72.0,31.0,3.0,DB,USA,Georgia,#CC0000,SEC
12,Atlanta,GA,33.7627,-84.4225,4259549,Trey,Blount,200.0,74.0,14.0,3.0,WR,USA,Georgia,#CC0000,SEC
13,Atlanta,GA,33.7627,-84.4225,4575122,Hayden,Rubin,321.0,77.0,58.0,1.0,OL,USA,Georgia,#CC0000,SEC
14,San Diego,CA,32.8312,-117.1225,4259574,Kolby,Wyatt,215.0,76.0,82.0,3.0,TE,USA,Georgia,#CC0000,SEC
15,Brooklyn,NY,40.6501,-73.9496,4259568,Isaiah,Wilson,340.0,79.0,79.0,2.0,OL,USA,Georgia,#CC0000,SEC
16,Baltimore,MD,39.3051,-76.6144,3917849,Lawrence,Cager,220.0,77.0,15.0,4.0,WR,USA,Georgia,#CC0000,SEC
17,Charlotte,NC,35.2079,-80.8304,4381558,Jordan,Davis,330.0,78.0,99.0,3.0,DL,USA,Georgia,#CC0000,SEC
18,Jacksonville,FL,30.3322,-81.6749,4259546,Ameer,Speed,211.0,75.0,9.0,3.0,DB,USA,Georgia,#CC0000,SEC
19,Jacksonville,FL,30.3322,-81.6749,4035008,Solomon,Kindley,335.0,76.0,66.0,3.0,OL,USA,Georgia,#CC0000,SEC
20,Nashville,TN,36.1715,-86.7843,4428032,Tymon,Mitchell,315.0,75.0,91.0,1.0,DL,USA,Georgia,#CC0000,SEC
21,Memphis,TN,35.1046,-89.9773,4426401,Bill,Norton,285.0,78.0,45.0,1.0,DL,USA,Georgia,#CC0000,SEC
22,Oklahoma City,OK,35.4676,-97.5137,4379398,Owen,Condon,310.0,79.0,75.0,2.0,OL,USA,Georgia,#CC0000,SEC
